Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Ashburn-VA-EQIX-DC2,,103,15,15,1,on,,HP,ProLiant DL360 G2,2UX7110340,,,,,
Ashburn-VA-EQIX-DC2,,103,18,18,1,on,,HP,ProLiant DL360 G5,2UX70102YB,,,,,
Ashburn-VA-EQIX-DC2,,103,23,23,1,on,,HP,ProLiant DL360 G6,CZ193303N5,,,,,
Ashburn-VA-EQIX-DC2,,103,21,21,1,on,,HP,ProLiant DL360 G6,CZ193303MV,,,,,
Ashburn-VA-EQIX-DC2,,103,25,25,1,on,,HP,ProLiant DL360p,MXQ3450658,,,,,
Ashburn-VA-EQIX-DC2,,103,10,10,1,on,,HP,ProLiant DL360p,158167,,,,,
Ashburn-VA-EQIX-DC2,,103,12,12,1,on,,HP,ProLiant DL385 G2,2UX711033F,,,,,
Ashburn-VA-EQIX-DC2,,103,36,36,1,on,,Dell,Power Edge 1950,12590,,,,,
Ashburn-VA-EQIX-DC2,,103,34,34,1,on,,Dell ,Power Edge 1950,12589,,,,,
Ashburn-VA-EQIX-DC2,,104,34,34,1,on,,Arista,2800,10490,,,,,
Ashburn-VA-EQIX-DC2,,104,38,38,1,on,,Arista,7048T-A,157798,,,,,
Ashburn-VA-EQIX-DC2,,104,36,36,1,on,,Arista,7048T-A,157802,,,,,
Ashburn-VA-EQIX-DC2,,104,26,26,1,on,,Arista,7048T-A,159558,,,,,
Ashburn-VA-EQIX-DC2,,104,24,24,1,on,,Arista,7048T-A,159559,,,,,
Ashburn-VA-EQIX-DC5,,213,35,35,1,on,asbnva-itp,Cisco,2811,FTX1310AIP3,,,,,
Ashburn-VA-EQIX-DC5,,213,37,37,1,on,ashbva-peer-rtr01,Cisco,2821,FTX1309A36J,,,,,
Ashburn-VA-EQIX-DC5,,213,34,34,1,on,ashbva-peer-sw1,Cisco,3750,,,,,,
Ashburn-VA-EQIX-DC5,,213,31,31,1,on,ashbnva-peer-itp2,Cisco,7200 VXR,73012518,,,,,
Ashburn-VA-EQIX-DC5,,213,38,38,1,on,,Cisco,RPS 2300,FD01311SGYF,,,,,
Ashburn-VA-EQIX-DC6,,102,20,20,1,on,console2,Cisco,2800,FTX1442A0KD,,,
Ashburn-VA-EQIX-DC6,,102,37,37,1,on,,Cisco,ASA 5510,JMX1032K14H,,,
Ashburn-VA-EQIX-DC6,,102,27,27,1,on,core1 chasis 4,Juniper,EX4200,BP0212224140,,,
Ashburn-VA-EQIX-DC6,,102,24,24,1,on,core1 chasis 2,Juniper,EX4200,BP0210355829,,,
Ashburn-VA-EQIX-DC6,,102,21,21,1,on,core1 chasis3,Juniper,EX4200,BP0210355757,,,
Ashburn-VA-EQIX-DC6,,102,"38,39",39,2,on,edge2-iad.agkn.net,Juniper,M7i,,,,
Ashburn-VA-EQIX-DC6,,102,"7,8,9",9,3,on,fabric1,Cisco,MDS 9222i,FOX1428H4QL,,,
Ashburn-VA-EQIX-DC6,,102,"4,5",5,2,on,edge2-iad,Juniper,MX80,ABCD2859,,,
Ashburn-VA-EQIX-DC6,,102,3,3,1,on,,HP,Proliant DL360 G7,USE048N860,,,
Ashburn-VA-EQIX-DC6,,102,2,2,1,on,ops1-1,HP,Proliant DL360 G7,USE042NFP4,,,
Ashburn-VA-EQIX-DC6,,102,18,18,1,on,slb3,Brocade,ServerIron ADX 1000,E32520J0WS,,,
Ashburn-VA-EQIX-DC6,,102,15,15,1,on,slb1,Brocade,ServerIron ADX 1000,E30530F027,,,
Ashburn-VA-EQIX-DC6,,102,"16,17",17,2,on,vpn1-1-prod-iad,Juniper,SRX 550,,,,
Ashburn-VA-EQIX-DC6,,102,"43,44",44,2,on,pdu102-1,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,102,"41,42",42,2,on,pdu102-2,APC,Switched Rack PDU,ZA1029023884,,,
Ashburn-VA-EQIX-DC6,,103,20,20,1,on,console1,Cisco,2800,FTX1442A0KE,,,
Ashburn-VA-EQIX-DC6,,103,24,24,1,on,core1 chasis 0,Juniper,EX4200,BP0210355872,,,,
Ashburn-VA-EQIX-DC6,,103,21,21,1,on,core1 chasis1,Juniper,EX4200,BP0210255660,,,,
Ashburn-VA-EQIX-DC6,,103,"38,39",39,2,on,edge1-iad.agkn.net,Juniper,M7i,,,,,
Ashburn-VA-EQIX-DC6,,103,"7,8,9",9,2,on,fabric2,Cisco,MDS 9222i,FOX1428H4QM,,,,
Ashburn-VA-EQIX-DC6,,103,"4,5",5,2,on,,Juniper,MX80,ABCD2969,,,,
Ashburn-VA-EQIX-DC6,,103,3,3,1,on,ops2-2,HP,Proliant DL360 G7,USE042NFP2,,,,
Ashburn-VA-EQIX-DC6,,103,2,2,1,on,ops2-1,HP,Proliant DL360 G7,USE042NFP3,,,,
Ashburn-VA-EQIX-DC6,,103,18,18,1,on,slb4,Brocade,ServerIron ADX 1000,E32520JOWN,,,,
Ashburn-VA-EQIX-DC6,,103,15,15,1,on,slb2,Brocade,ServerIron ADX 1000,E30530F022,,,,
Ashburn-VA-EQIX-DC6,,103,"16,17",17,2,on,vpn2-1-prod-iad,Juniper,SRX 550,,,,,
Ashburn-VA-EQIX-DC6,,103,"43,44",44,2,on,pdu103-1,APC,Switched Rack PDU,,,,,
Ashburn-VA-EQIX-DC6,,103,"41,42",42,2,on,pdu103-2,APC,Switched Rack PDU,ZA1029023887,,,,
Ashburn-VA-EQIX-DC6,,104,2,2,1,on,vmhost1-io-dmz-iad,HP,ProLiant DL360 G7,USE041N12R,,,,
Ashburn-VA-EQIX-DC6,,104,"25,26",26,2,on,event1-3-prod-iad,HP,ProLiant DL380 G7,USE233C1H7,,,,
Ashburn-VA-EQIX-DC6,,104,"23,24",24,2,on,event1-2-prod-iad,HP,ProLiant DL380 G7,USE233C1H5,,,,
Ashburn-VA-EQIX-DC6,,104,"20,21",21,2,on,sumdb1-1-prod-iad,HP,ProLiant DL380 G7,USE119N9C6,,,,
Ashburn-VA-EQIX-DC6,,104,"16,17",17,2,on,loader1-1,HP,ProLiant DL380 G7,USE041NAHS,,,
Ashburn-VA-EQIX-DC6,,104,"14,15",15,2,on,sumdb1-2,HP,ProLiant DL380 G7,USE041NAJ1,,,
Ashburn-VA-EQIX-DC6,,104,"11,12",12,2,on,vmhost3-io-prod-iad,HP,ProLiant DL380 G7,USE119N9C4,,,
Ashburn-VA-EQIX-DC6,,104,"8,9",9,2,on,sharddb1-1,HP,ProLiant DL380 G7,USE041NAHT,,,
